"ARABIC,COMPUTER STUDIES,FRENCH. CODE: SS1006 | TRACK: LANGUAGES & LITERATURE",,,,,
KANZIKO,KITUI,MIXED,DAY,C4,REGULAR
KAPLETINGI MIXED DAY SEC,ELGEYO MARAKWET,MIXED,DAY,C4,REGULAR
STEDA MIXED SECONDARY SCHOOL,MIGORI,MIXED,HYBRID,PR,REGULAR
SINYOLO GIRLS,KISUMU,GIRLS,BOARDING,C1,REGULAR
THE SA THIKA HIGH SCH FOR BLIND,KIAMBU,MIXED,BOARDING,C1,SNE
ANDIWO MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
ST. IGNATIUS MUKUMU BOYS,KAKAMEGA,BOYS,BOARDING,C2,REGULAR
GATAMAIYU,KIAMBU,BOYS,BOARDING,C3,REGULAR
MUBACHI SEC SCH,MIGORI,MIXED,DAY,C4,REGULAR
MUTYANGOME MIXED DAY SEC SCH,KITUI,MIXED,DAY,C4,REGULAR
GETUKI MIXED,KISII,MIXED,DAY,C4,REGULAR
SEKO GIRLS,UASIN GISHU,GIRLS,BOARDING,C2,REGULAR
ISOVYA SEC,MAKUENI,MIXED,DAY,C4,REGULAR
MOBAMBA,KISII,MIXED,BOARDING,C2,REGULAR
ADEGA SEC SCH,HOMA BAY,MIXED,DAY,C4,REGULAR
NYALENDA MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
RACHAR MIXED SEC,SIAYA,MIXED,DAY,C4,REGULAR
GITHIMA,NYANDARUA,MIXED,DAY,C4,REGULAR
MURATHI MIXED DAY SEC,MERU,MIXED,DAY,C4,REGULAR
KIPKABUS BOYS HIGH,UASIN GISHU,BOYS,BOARDING,C2,REGULAR
SHURIE,GARISSA,BOYS,BOARDING,C3,REGULAR
KAPSINENDET SECONDARY SCHOOL,KERICHO,MIXED,DAY,C4,REGULAR
MOYENI SEC,KWALE,GIRLS,BOARDING,C3,REGULAR
KARABONDI BIDII,HOMA BAY,MIXED,DAY,C4,REGULAR
UOZI SEC,HOMA BAY,MIXED,BOARDING,C3,REGULAR
HADADO,WAJIR,MIXED,DAY,C4,REGULAR
Koduogo secondary School,HOMA BAY,MIXED,DAY,C4,REGULAR
ST. LUKE'S WAMBARRA,SIAYA,MIXED,DAY,C4,REGULAR
ST ALEX AYUCHA,KISUMU,MIXED,DAY,C4,REGULAR
SHASHAFEY MIXED SECONDARY SCHOOL-MANDERA,MANDERA,MIXED,DAY,C4,REGULAR
OLOOLTEPES SEC SCH,KAJIADO,MIXED,BOARDING,C3,REGULAR
MENGWET,BOMET,MIXED,DAY,C4,REGULAR
NYONDIA,NAKURU,MIXED,DAY,C4,REGULAR
KARIMA BOYS,NYERI,BOYS,BOARDING,C2,REGULAR
MELELO,NAROK,MIXED,BOARDING,C3,REGULAR
ST MICHAEL APATIT,BUSIA,MIXED,DAY,C4,REGULAR
MORULEM MIXED SEC,TURKANA,MIXED,BOARDING,C3,REGULAR
LARMUDIAC SEC,NAKURU,MIXED,BOARDING,C2,REGULAR
KYUSO GIRLS,KITUI,GIRLS,BOARDING,C3,REGULAR
ST JOHN KATHANDE DAY SEC,EMBU,MIXED,DAY,C4,REGULAR
TENWEK,BOMET,BOYS,BOARDING,C1,REGULAR
TOT MIXED DAY,ELGEYO MARAKWET,MIXED,DAY,C4,REGULAR
SINAGA GIRLS,SIAYA,GIRLS,BOARDING,C2,REGULAR
RIYABU  ELCK,KISII,MIXED,DAY,C4,REGULAR
AIC NGERIA GIRLS SECONDARY SCHOOL,UASIN GISHU,GIRLS,BOARDING,C2,REGULAR
KAMONGIL MIXED DAY,BOMET,MIXED,DAY,C4,REGULAR
THE S.A LWANDA SECONDAY,BUNGOMA,MIXED,DAY,C4,REGULAR
ST. MARY'S NAMABUSI ACK SECONDARY SCHOOL,BUSIA,MIXED,DAY,C4,REGULAR
ST MICHAELS,BOMET,MIXED,DAY,C4,REGULAR
MATARE SECONDARY SCHOOL,MIGORI,BOYS,BOARDING,C3,REGULAR
KAPCHELACH,KERICHO,MIXED,DAY,C4,REGULAR
LARMUDIAC DAY MIXED,NAKURU,MIXED,DAY,C4,REGULAR
IGUNGA GIRLS,VIHIGA,GIRLS,BOARDING,C2,REGULAR
MIUINE MIXED DAY SEC,MERU,MIXED,DAY,C4,REGULAR
GOD NGOCHE GIRLS,MIGORI,GIRLS,DAY,C4,REGULAR
GOITABSILIBWET SEC,BOMET,MIXED,DAY,C4,REGULAR
UHURU GIRLS HIGH SCH - LOKICHAR,TURKANA,GIRLS,BOARDING,C2,REGULAR
MASHUURU SEC,KAJIADO,BOYS,BOARDING,C3,REGULAR
MILALULU SECONDARY,TANA RIVER,MIXED,DAY,C4,REGULAR
WEAVER BIRD,TRANS NZOIA,MIXED,HYBRID,PR,REGULAR
MITUKUYU FRIENDS SEC,BUNGOMA,MIXED,DAY,C4,REGULAR
