"COMPUTER STUDIES,GEOGRAPHY,ISLAMIC RELIGIOUS EDUCATION. CODE: SS2033 | TRACK: HUMANITIES & BUSINESS STUDIES",,,,,
KICHAKA SIMBA,KWALE,GIRLS,BOARDING,C3,REGULAR
KASIGAU MIXED DAY AND GIRLS BOARDING,TAITA TAVETA,MIXED,HYBRID,C4,REGULAR
KISUMU BOYS HIGH SCHOOL,KISUMU,BOYS,BOARDING,C1,REGULAR
Mbegani secondary school,KWALE,MIXED,DAY,C4,REGULAR
LIKII HILL,LAIKIPIA,MIXED,HYBRID,PR,REGULAR
KIABONYORU GIRLS,NYAMIRA,GIRLS,BOARDING,C3,REGULAR
MUMIAS MUSLIM BOYS,KAKAMEGA,BOYS,BOARDING,C3,REGULAR
WAJIR HIGH SCH,WAJIR,BOYS,BOARDING,C1,REGULAR
SABUNLEY SEC,WAJIR,BOYS,BOARDING,C2,REGULAR
RAILA EDUCATIONAL CENTRE,NAIROBI,MIXED,DAY,C4,REGULAR
TARU GIRLS,KWALE,GIRLS,BOARDING,C3,REGULAR
OLBUTYO BOYS,BOMET,BOYS,BOARDING,C3,REGULAR
ST BENEDICTS SEC KIPSAMOITE,NANDI,MIXED,DAY,C4,REGULAR
MUMIAS  MUSLIM GIRLS,KAKAMEGA,GIRLS,BOARDING,C3,REGULAR
MECHI MERU  CEB SECONDARY SCHOOL {BUNGOMA-BUNGOMA SOUTH},BUNGOMA,MIXED,DAY,C4,REGULAR
ADHIBOHOL MIXED DAY SECONDARY SCHOOL[],Wajir,MIXED,DAY,C4,REGULAR
TARU,KWALE,BOYS,BOARDING,C2,REGULAR
SANKURI SECONDARY,GARISSA,BOYS,BOARDING,C2,REGULAR
PIONEER SCHOOL,MURANG'A,BOYS,BOARDING,PR,REGULAR
NOVA PIONEER TATU GIRLS SECONDARY SCHOOL,KIAMBU,GIRLS,BOARDING,PR,REGULAR
GOD MARERA MIXED SEC,HOMA BAY,MIXED,DAY,C4,REGULAR
BISHOP E WABUKALA A.C.K. MALAKISI,BUNGOMA,MIXED,DAY,C4,REGULAR
NEP GIRLS,GARISSA,GIRLS,BOARDING,C1,REGULAR
MULATIWA SEC,BUNGOMA,MIXED,DAY,C4,REGULAR
WELLSPING MISSION SCHOOL,NAKURU,MIXED,HYBRID,PR,REGULAR
GALOLE MODEL,TANA RIVER,MIXED,BOARDING,C3,REGULAR
ALGANI GIRLS DAY SECONDARY SCHOOL,ISIOLO,GIRLS,DAY,C4,REGULAR
MELELO,NAROK,MIXED,BOARDING,C3,REGULAR
WITHARAGA MIXED,MIGORI,MIXED,DAY,C4,REGULAR
BOROR SEC,NAKURU,MIXED,DAY,C4,REGULAR
WABERI MIXED  DAY SEC,WAJIR,MIXED,DAY,C4,REGULAR
LEHELEY GIRLS BOARDING/DAY SECONDARY SCHOOL,WAJIR,GIRLS,HYBRID,C4,REGULAR
KANGARU SCH,EMBU,BOYS,BOARDING,C1,REGULAR
MOA SEC,LAMU,MIXED,DAY,C4,REGULAR
DANDU SEC,MANDERA,BOYS,BOARDING,C3,REGULAR
ITOLEKA GIRLS,KITUI,GIRLS,BOARDING,C2,REGULAR
ST PATRICKS HIGH SCHOOL KABONGO,UASIN GISHU,BOYS,BOARDING,PR,REGULAR
IFTIN GIRLS,GARISSA,GIRLS,DAY,C4,REGULAR
KAKAMEGA MUSLIM SEC,KAKAMEGA,MIXED,DAY,C4,REGULAR
ST MARYS MACHEWA,TRANS NZOIA,MIXED,BOARDING,C3,REGULAR
KILIFI TOWNSHIP,KILIFI,BOYS,BOARDING,C3,INTERGRATED
KOYONZO MIXED,KAKAMEGA,BOYS,BOARDING,C3,REGULAR
"ELADOW MIXED DAY SECONDARY(WAJIR,WAJIR SOUTH)",WAJIR,MIXED,DAY,C4,REGULAR
KAYOLE SOUTH SECONDARY SCHOOL,NAIROBI,MIXED,DAY,C4,REGULAR
BANISA MIXED DAY,MANDERA,MIXED,DAY,C4,REGULAR
LUNGA LUNGA,KWALE,BOYS,DAY,C4,REGULAR
PUMWANI GIRLS,NAIROBI,GIRLS,DAY,C4,REGULAR
KWALE GIRLS,KWALE,GIRLS,BOARDING,C2,REGULAR
Biliqo[Isiolo-Merti],ISIOLO,MIXED,DAY,C4,REGULAR
Shaletey Mixed Day Secondary school,WAJIR,MIXED,DAY,C4,REGULAR
KANGARU GIRLS,EMBU,GIRLS,BOARDING,C2,REGULAR
COUNTY GIRL'S HIGH SCHOOL NAIROBI,NAIROBI,GIRLS,BOARDING,C3,REGULAR
ABAKORE MIXED DAY,WAJIR,MIXED,DAY,C4,REGULAR
KANYAMEDHA MIXED,KISUMU,MIXED,DAY,C4,INTERGRATED
Badassa Mixed Secondary School,MARSABIT,MIXED,DAY,C4,REGULAR
Arbajahan Mixed Day/ Boarding,WAJIR,MIXED,DAY,C4,REGULAR
SABEMBE,KISUMU,MIXED,DAY,C4,REGULAR
Banisa Girls Secondary,MANDERA,GIRLS,DAY,C4,REGULAR
MURUKU SECONDARY SCHOOL,LAIKIPIA,MIXED,DAY,C4,REGULAR
HOLY CROSS  BOYS KACHELIBA,WEST POKOT,BOYS,BOARDING,C2,REGULAR
MAKUPA BOYS SEC,MOMBASA,BOYS,DAY,C4,REGULAR
SAMBURU,KWALE,BOYS,BOARDING,C3,REGULAR
MUMTAZ GIRLS HIGH SCHOOL,NAKURU,GIRLS,BOARDING,PR,INTEGRATED
SONDANY MIXED SEC,WEST POKOT,MIXED,DAY,C4,REGULAR
MOYENI SEC,KWALE,GIRLS,BOARDING,C3,REGULAR
BURDER GIRLS SECONDARY SCHOOL,WAJIR,GIRLS,DAY,C4,REGULAR
LAFEY GIRLS SECONDARY SCHOOL,MANDERA,GIRLS,BOARDING,C3,REGULAR
ROBA MODEL SECONDARY SCHOOL {MANDERA-MANDERA CENTRAL},MANDERA,MIXED,DAY,C4,REGULAR
Maangani Sec.,KITUI,MIXED,DAY,C4,REGULAR
MOI FORCES GIRLS ACADEMY - MOMBASA,MOMBASA,GIRLS,BOARDING,C3,REGULAR
KALENG BOYS SECONDARY,TURKANA,BOYS,DAY,C4,REGULAR
OLKIRIANE MIXED SECONDARY,NAROK,MIXED,BOARDING,C3,REGULAR
NDANAI,BOMET,GIRLS,BOARDING,C2,REGULAR
MWANGEA,TAITA TAVETA,BOYS,HYBRID,C3,REGULAR
MKONGANI SEC,KWALE,MIXED,DAY,C4,REGULAR
SAMBUL BOYS HIGH SCHOOL(GARISSA),GARISSA,BOYS,DAY,C4,REGULAR
SHARIANI SECONDARY,KILIFI,MIXED,DAY,C4,REGULAR
ISIOLO BARRACKS SEC,ISIOLO,MIXED,DAY,C4,REGULAR
NGUMBULU SEC,MACHAKOS,MIXED,BOARDING,C3,REGULAR
KAMITO BOYS,WEST POKOT,BOYS,BOARDING,C3,INTERGRATED
FURAHA GIRLS SECONDARY[WAJIR EAST],WAJIR,GIRLS,DAY,C4,REGULAR
MALINDI HIGH SCHOOL,KILIFI,BOYS,BOARDING,C1,REGULAR
KASHANI,MOMBASA,MIXED,DAY,C4,REGULAR
TSANGATSINI,KILIFI,MIXED,DAY,C4,REGULAR
ST THERESAS TARTAR GIRLS,WEST POKOT,GIRLS,BOARDING,C1,REGULAR
MERTI MUSLIM GIRLS,ISIOLO,GIRLS,BOARDING,C3,REGULAR
ST GERALD MAYUGE SECONDARY SCHOOL,KAKAMEGA,MIXED,DAY,C4,REGULAR
WAGALLA MEMORIAL ACADEMY,WAJIR,MIXED,BOARDING,C3,REGULAR
MKWAJUNI SECONDARY SCHOOL,KILIFI,MIXED,DAY,C4,REGULAR
MARERENI,KILIFI,MIXED,DAY,C4,REGULAR
MIRITINI SEC,MOMBASA,MIXED,DAY,C4,REGULAR
RCEA LOKORI,TURKANA,BOYS,BOARDING,C2,REGULAR
HADADO,WAJIR,MIXED,DAY,C4,REGULAR
JOMVU GIRLS HIGH SCH,MOMBASA,GIRLS,DAY,C4,REGULAR
SAKA GIRLS SEC,GARISSA,GIRLS,BOARDING,C2,REGULAR
MILIMA MIXED SEC,TRANS NZOIA,MIXED,DAY,C4,REGULAR
SHEIKH AHMED MSALLAM SECONDARY SCHOOL,LAMU,MIXED,DAY,C4,REGULAR
KAKONENI GIRLS,KILIFI,GIRLS,BOARDING,C2,REGULAR
RAHMA MIXED DAY SECONDARY SCHOOL(WAJIR),WAJIR,MIXED,DAY,C4,REGULAR
KAMBE,KILIFI,MIXED,DAY,C4,REGULAR
MRABENYI SEC,TAITA TAVETA,MIXED,DAY,C4,REGULAR
SIRIA HIGH,NAROK,BOYS,BOARDING,C3,REGULAR
SASURA GIRLS,MARSABIT,GIRLS,BOARDING,C2,REGULAR
MUSLIM ACADEMY,NAIROBI,MIXED,DAY,PR,REGULAR
GARBATULA HIGH,ISIOLO,BOYS,BOARDING,C1,REGULAR
NAMBOBOTO BOYS  SECONDARY,BUSIA,BOYS,HYBRID,C3,REGULAR
TIWI GIRLS SECONDARY SCHOOL,KWALE,GIRLS,DAY,C4,REGULAR
GIDEA BOYS HIGH SCHOOL,TRANS NZOIA,BOYS,DAY,C4,REGULAR
Rahole Girls,GARISSA,GIRLS,DAY,C4,REGULAR
GRIFTU SEC,WAJIR,BOYS,BOARDING,C2,REGULAR
BUCHIFI SEC,KAKAMEGA,MIXED,DAY,C4,REGULAR
BENANE SEC,GARISSA,MIXED,HYBRID,C3,REGULAR
NYAMBARE SEC,SIAYA,MIXED,DAY,C4,REGULAR
NGAO GIRLS SEC,TANA RIVER,GIRLS,BOARDING,C1,REGULAR
TIMBILA SEC,TAITA TAVETA,BOYS,BOARDING,C2,INTERGRATED
ST. JOSEPH SHIROTSA SEC,KAKAMEGA,MIXED,DAY,C4,REGULAR
NAMANJALALA,TRANS NZOIA,BOYS,BOARDING,C3,REGULAR
MITANGANI SEC SCH,KILIFI,MIXED,DAY,C4,REGULAR
